G10,G10,G10,G10r,P0,P0,G11l,G11,H,H,P0,P0,P0,G11r,G12,G12,G12,G12,P0,G12,G12,G12r,P0,P0,G13l,G13,G13,G13,G13,G13,G13,G13,G14l,G14,G14,G14,G14,G14,G14,G14,G14,G14r,P0,P0,G15,G15,G15,G15
H,H,P0,P0,P0,P0,G11l,G11,H,H,H,H,G11,G11r,G12,G12,H,H,H,H,G12,G12r,P0,P0,G13l,G13,H,H,H,H,G13,G13,G14l,G14,H,H,H,H,H,H,G14,G14,P0,P0,G15,G15,H,H
H,H,P0,P0,P0,P0,G11l,G11,H,H,H,H,G11,G11r,G12,G12,H,H,H,H,G12,G12r,P0,P0,G13l,G13,H,H,H,H,G13,G13,G14l,G14,H,H,H,H,H,H,G14,G14,P0,P0,P0,P0,H,H
H,H,G10,G10r,P0,P0,G11l,G11,G11,G11,G11,G11,G11,G11r,G12,G12,G12,G12,G12,G12,G12,G12r,P0,P0,G13l,G13,G13,P0,P0,G13,G13,G13,G14l,G14,G14,G14,G14,G14,G14,P0,G14,G14r,P0,P0,G15,G15,H,H
H,H,G10b,G10rb,P0,P0,G11lb,G11b,G11b,G11b,G11b,G11b,G11,G11rb,G12b,G12b,G12b,G12b,G12b,G12,G12b,G12rb,P0,P0,G13lb,G13b,G13b,P0,P0,G13b,G13b,G13b,G14lb,G14b,G14b,G14b,G14b,G14b,P0,P0,G14b,G14rb,P0,P0,G15,G15,H,H
P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
H,H,G19t,G19t,G19t,G19t,G19t,P0,P0,G19t,G19t,G19t,G19t,G19t,G18lt,G18t,G18,P0,P0,G18,G18t,G18rt,P0,P0,G17l,G17,G17,P0,P0,G17,G17,G17,G17,G17,G16l,G16,P0,G16,G16,G16,G16,G16r,P0,P0,G0,G0,G0,G0
H,H,G19,G19,P0,P0,P0,P0,P0,G19,G19,W0,W0,G19,G18l,G18,G18,G18,P0,G18,G18,G18r,P0,P0,G17l,G17,G17,P0,P0,G17,G17,G17,G17,G17,G16l,G16,P0,G16,G16,G16,G16,G16r,P0,P0,G0,W0,W0,G0
H,H,H,H,G19,G19,G19,G19,G19,G19,G19,W0,W0,G19,G18l,G18,H,H,H,H,G18,G18r,P0,P0,G17l,G17,H,H,H,H,H,H,G17,G17,G16l,G16,H,H,H,H,G16,G16r,P0,P0,G0,W0,W0,G0
H,H,H,H,G19,G19,G19,G19,G19,G19,G19,G19,G19,G19,G18l,G18,H,H,H,H,G18,G18r,P0,P0,G17l,G17,H,H,H,H,H,H,G17,G17,G16l,G16,H,H,H,H,G16,G16r,P0,P0,G0,G0,G0,G0
